Site,Issues,PRs,Commits,Contributors
api.jquery.com,343,79,503,50
api.jqueryui.com,137,53,546,25
api.jquerymobile.com,150,81,871,17
jquery.org,30,36,590,27
jquery-wp-content,174,103,1233,44
jquerymobile.com,28,17,151,13
api.qunitjs.com,30,10,117,11
jqueryui.com,53,13,273,13
download.jqueryui.com,170,19,620,10
contribute.jquery.org,39,29,131,23
learn.jquery.com,175,283,728,93
brand.jquery.org,10,1,46,6
plugins.jquery.com,142,13,291,16
qunitjs.com,38,21,185,19
meetings.jquery.org,10,1,198,5
jquery.com,37,16,159,11
themeroller.jquerymobile.com,136,37,318,17
grunt-jquery-content,25,22,165,12
irc.jquery.com,7,3,19,5
demos.jquerymobile.com,3,1,6,2
codeorigin.jquery.com,5,3,53,8
